name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
"Power Lines","![Power Lines](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/powerlines/banner.jpg)\n\nDetected some fluctiations on the power line. We need to check it out.\n\n<span><code>\n\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b \ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3a\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b \ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3b\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3a\ud83d\udd3b\n</code></span><br/>\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","misc","200","standard","visible","0","he2024{its_not_only_a_bit_its_a_decabit}","","",""
"Code\u00b3","![Code\u00b3](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/code3/banner.jpg)\n\nSomeone invented a new code, can you crack it?\n\n`5.3 5.1 3.5 1.1 4.4 3.3 5.4 4.2 1.1 5.1 3.5 5.9 3.1 2.3 2.2 4.5 2.3 3.1`\n\n\ud83d\udea9 Flag\n- uppercase\n- no spaces\n- example: `he2024{FLAGFLAG}`\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","crypto","300","standard","visible","0","he2024{TRIANGULARIZEDCODE}","","- `I` == `J`",""
"BucksBuddy","![BucksBuddy](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/bucksbuddy/banner.jpg)\n\nYou already know the username (`joe`) and his password (`letmein1`). But, what's next?\n\n[BucksBuddy web site](http://__DOCKER_HOST__:2401)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `inik` for `Hacky Easter 2024`","web","100","standard","visible","0","he2024{Not_that_easy_anymore, sigh!}","","",""
"Sanity Check","![Sanity Check](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/sanitycheck/banner.jpg)\n\nWelcome to Hacky Easter 2024!\n\nHere is your first flag!\n\n<div style=\"-webkit-transform: rotate(-180deg);-moz-transform: rotate(-180deg);transform:rotate(-180deg); text-align: right;\">he2024{s4nity_ch3ck_d0n3}</div>\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","misc","50","standard","visible","0","he2024{s4nity_ch3ck_d0n3}","","",""
"The Duck","![The Duck](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/theduck/banner.jpg)\n\nNaknak Nak. Naknak nak? Nanananak Nananak Nanananak Nak Nanananak Nananak Nanananak Nak? Naknaknak nanak Naknak Nananak Naknaknak Nananak Nanananak Nanananak Nanananak Nak? Naknak Nak? nak? naknaknak Nanananak Nanak Nanananak nak? nak? naknaknak Naknak Nananak Nanananak Nak? Naknak Nak? nak? naknaknak Naknak Naknak Naknak naknaknak Naknaknak Nananak nak? naknaknak Naknak Nak? Naknaknak nak? Naknak Nanananak Naknak nanak Nanananak nak? Naknaknak nak! \n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","crypto","50","standard","visible","0","he2024{br34d_15_b4d_for_duck5}","","",""
"Mr. Slapdash","![Mr. Slapdash](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/mrslapdash/banner.jpg)\n\nI found Mr. Slapdash's notes file where he keeps track of his credit cards.\n\nHe seems to have written down the CVV numbers in some sort of encoding. Can you crack it?\n\n```\n4929 2428 3716 8341   11/27  visa\n5209 2330 7086 6970   02/28  mastercard\n3793 568767 90378     03/28  amex\n6011 3798 6234 9679   07/27  discover\n\ncvv:\n4/1/3 3/2/5 2/2/2\n3/2/3 4/4/1 1/3/2 \n1/4/4 4/4/1 4/1/4 1/1/1\n2/3/3 2/2/3 3/1/1\n```\n\n\ud83d\udea9 Flag\n- concatenated CVV numbers, no spaces\n- `he2024{99...99}` (`99` is just a placeholder, not part of the flag)\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","crypto","100","standard","visible","0","he2024{1638971914833}","","",""
"Prisoners","![Prisoners](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/prisoners/banner.jpg)\n\nPrison guards found a snippet of paper with a hand-written message:\n\n<span><code>\nHello! This message is for John. He is in block A, 12. 10 days ago, 12 am, 14th of July you asked me about my friends out there. O{h, awesome what they managed to do! We will certainly succeed. I don't think there will be any problems. I now need to organize how, we, us will start. Ideally you know it, past reading this message. My best regards. O}k\n</code></span><br/>\n\nThere seems to be a hidden message in there. Can you find it?\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","crypto","100","standard","visible","0","he2024{wednesday}","","",""
"Egg Design","![Egg Design](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/eggdesign/banner.jpg)\n\nHope you like the design of this year's eggs!\n\n<div id=\"layers\" style=\"position: relative; width: 360px; height: 360px; background: rgba(0, 0, 0, 0); transform: rotate(-30deg) skew(25deg) scale(0.8); transition: 0.5s; margin-top: -20px; margin-bottom: 60px;\">\n    <img id=\"layer1\" src=\"https://www.hackyeaster.com/img/eggdesign_layer1.png\" style=\"position: absolute; width: 100%; transition: 0.5s; opacity: 0.96; transform: translate(-96px, 96px);\">\n    <img id=\"layer2\" src=\"https://www.hackyeaster.com/img/eggdesign_layer2.png\" style=\"position: absolute; width: 100%; transition: 0.5s; opacity: 0.96; transform: translate(-64px, 64px);\">\n    <img id=\"layer3\" src=\"https://www.hackyeaster.com/img/eggdesign_layer3.png\" style=\"position: absolute; width: 100%; transition: 0.5s; opacity: 0.96; transform: translate(-32px, 32px);\">\n    <img id=\"layer4\" src=\"https://www.hackyeaster.com/img/eggdesign_layer4.png\" style=\"position: absolute; width: 100%; transition: 0.5s; opacity: 0.96;\">\n</div>\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","web","50","standard","visible","0","he2024{blu3_gr33n_y3ll0w_4nd_r3d}","","",""
"Planet Index","![Planet Index](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/planetindex/banner.jpg)\n\nWelcome to the Index of Planets!\n\n- `nc __DOCKER_HOST__ 2403`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","pwn","200","standard","visible","0","he2024{plut0_41nt_n0_plan3t_n0_m0r3}","","",""
"Piece of Cake 1","![Piece of Cake 1](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/pieceofcake1/banner.jpg)\n\nBunny Bob grinned from ear to ear, as he told the story of his new idea. \"*ROT. It's just ROT. Nothing more. But get this: Each letter is rotted individually, and I am using different numbers for each letter!*\".\n\nFred Rabbit wasn't impressed. \"*Hmm. Interesting. How do you communicate the needed individual rotations to the recipient?*\".\n\"*Oh. That*\", Bob smiled. \"*You could say it's a piece of cake.*\"\n\nHere's the encoded flag: \n\n```\nii35;6\u0081Ykf|h~j8adgf7ve5uuiw37wflaj}x`9rbgj|7\u0086\n```\n\n\n----\nCreated by `khae` for `Hacky Easter 2024`","misc,crypto","200","standard","visible","0","he2024{That_wa5_a_b1t_1rrat10nal_but_0kaaay.}","","",""
"Encoding Baseics","![Encoding Baseics](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/_teaser/banner.jpg)\n\nI got this string, can you decode it?\n\n`BOrqQ1,O>91gas<?Z'e(?Y++tAnE37`\n\nI tried [Base64 using Cyber Chef](https://gchq.github.io/CyberChef/#recipe=From_Base64('A-Za-z0-9%2B/%3D',true,false)&input=Qk9ycVExLE8%2BOTFnYXM8P1onZSg/WSsrdEFuRTM3), but it didn't work.\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","misc","50","standard","visible","0","he2024{64_is_not_enuff!}","","",""
"Zone Lockdown","![Zone Lockdown](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/zonelockdown/banner.jpg)\n\nThis is an emergency! Your network was infiltrated, and you immediately need to initiate a zone lockdown!\n\nYou do have access to the system (user `minion`), and you know the lockdown script.\n\nBut damn, one must become the `boss` to execute it!\n\nNotes:\n- there are multiple instances running - if yours is broken, switch to another one\n- `ssh __DOCKER_HOST__ -l minion -p <PORT>` where `<PORT>` is one of: `2411`, `2412`, `2413`, `2414`\n- password for **both** `minion` and `boss`: `letmein`\n- script to run: `/home/boss/lockdown.sh`\n- you'll be kicked off a server if the lockdown is triggered by someone else\n- the servers are restarted __DOCKER_RESTART__\n\n\n\n----\nCreated by `roggy85` for `Hacky Easter 2024`","pwn","200","standard","visible","0","he2024{z0ne_l0ckd0wn_succ3ssfully_tr1gg3r3d}","","",""
"Egg Busters","![Egg Busters](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/eggbusters/banner.jpg)\n\nGhostbusters go Egg Hunting!\n\nOpen their webpage and find the `egg.png`.\n\n[Egg Busters web site](http://__DOCKER_HOST__:2407)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `inik` for `Hacky Easter 2024`","web","100","standard","visible","0","he2024{p4th_tr4v3rs4ls_st1ll_h4pp3ns}","","You don't need to have an account (sign-up doesn't work anyway).\n\nDo some research!",""
